BST Inserting 1804289383, traversed counter is 0
AVL Inserting 1804289383, traversed counter is 0
BST Inserting 846930886, traversed counter is 1
AVL Inserting 846930886, traversed counter is 2
BST Inserting 1681692777, traversed counter is 2
AVL Inserting 1681692777, traversed counter is 5
BST Inserting 1714636915, traversed counter is 3
AVL Inserting 1714636915, traversed counter is 6
BST Inserting 1957747793, traversed counter is 1
AVL Inserting 1957747793, traversed counter is 8
BST Inserting 424238335, traversed counter is 2
AVL Inserting 424238335, traversed counter is 8
BST Inserting 719885386, traversed counter is 3
AVL Inserting 719885386, traversed counter is 6
BST Inserting 1649760492, traversed counter is 3
AVL Inserting 1649760492, traversed counter is 14
BST Inserting 596516649, traversed counter is 4
AVL Inserting 596516649, traversed counter is 16
BST Inserting 1189641421, traversed counter is 4
AVL Inserting 1189641421, traversed counter is 7
BST Inserting 1025202362, traversed counter is 5
AVL Inserting 1025202362, traversed counter is 24
BST Inserting 1350490027, traversed counter is 5
AVL Inserting 1350490027, traversed counter is 15
BST Inserting 783368690, traversed counter is 4
AVL Inserting 783368690, traversed counter is 22
BST Inserting 1102520059, traversed counter is 6
AVL Inserting 1102520059, traversed counter is 27
BST Inserting 2044897763, traversed counter is 2
AVL Inserting 2044897763, traversed counter is 28
BST Inserting 1967513926, traversed counter is 3
AVL Inserting 1967513926, traversed counter is 8
BST Inserting 1365180540, traversed counter is 6
AVL Inserting 1365180540, traversed counter is 7
BST Inserting 1540383426, traversed counter is 7
AVL Inserting 1540383426, traversed counter is 18
BST Inserting 304089172, traversed counter is 3
AVL Inserting 304089172, traversed counter is 24
BST Inserting 1303455736, traversed counter is 6
AVL Inserting 1303455736, traversed counter is 21
BST Inserting 35005211, traversed counter is 4
AVL Inserting 35005211, traversed counter is 30
BST Inserting 521595368, traversed counter is 5
AVL Inserting 521595368, traversed counter is 33
BST Inserting 294702567, traversed counter is 5
AVL Inserting 294702567, traversed counter is 8
BST Inserting 1726956429, traversed counter is 4
AVL Inserting 1726956429, traversed counter is 27
BST Inserting 336465782, traversed counter is 4
AVL Inserting 336465782, traversed counter is 44
BST Inserting 861021530, traversed counter is 6
AVL Inserting 861021530, traversed counter is 29
BST Inserting 278722862, traversed counter is 6
AVL Inserting 278722862, traversed counter is 36
BST Inserting 233665123, traversed counter is 7
AVL Inserting 233665123, traversed counter is 8
BST Inserting 2145174067, traversed counter is 3
AVL Inserting 2145174067, traversed counter is 49
BST Inserting 468703135, traversed counter is 6
AVL Inserting 468703135, traversed counter is 7
BST Inserting 1101513929, traversed counter is 7
AVL Inserting 1101513929, traversed counter is 14
BST Inserting 1801979802, traversed counter is 5
AVL Inserting 1801979802, traversed counter is 28
BST Inserting 1315634022, traversed counter is 7
AVL Inserting 1315634022, traversed counter is 33
BST Inserting 635723058, traversed counter is 5
AVL Inserting 635723058, traversed counter is 37
BST Inserting 1369133069, traversed counter is 8
AVL Inserting 1369133069, traversed counter is 8
BST Inserting 1125898167, traversed counter is 7
AVL Inserting 1125898167, traversed counter is 14
BST Inserting 1059961393, traversed counter is 8
AVL Inserting 1059961393, traversed counter is 25
BST Inserting 2089018456, traversed counter is 4
AVL Inserting 2089018456, traversed counter is 8
BST Inserting 628175011, traversed counter is 6
AVL Inserting 628175011, traversed counter is 8
BST Inserting 1656478042, traversed counter is 4
AVL Inserting 1656478042, traversed counter is 14
BST Inserting 1131176229, traversed counter is 8
AVL Inserting 1131176229, traversed counter is 45
BST Inserting 1653377373, traversed counter is 5
AVL Inserting 1653377373, traversed counter is 54
BST Inserting 859484421, traversed counter is 7
AVL Inserting 859484421, traversed counter is 58
BST Inserting 1914544919, traversed counter is 2
AVL Inserting 1914544919, traversed counter is 63
BST Inserting 608413784, traversed counter is 7
AVL Inserting 608413784, traversed counter is 14
BST Inserting 756898537, traversed counter is 5
AVL Inserting 756898537, traversed counter is 65
BST Inserting 1734575198, traversed counter is 6
AVL Inserting 1734575198, traversed counter is 66
BST Inserting 1973594324, traversed counter is 4
AVL Inserting 1973594324, traversed counter is 9
