***** 10000
BST Inserting 10000, traversed counter is 0
AVL Inserting 10000, traversed counter is 0
BST Inserting 9999, traversed counter is 1
AVL Inserting 9999, traversed counter is 2
BST Inserting 9998, traversed counter is 2
AVL Inserting 9998, traversed counter is 5
BST Inserting 9997, traversed counter is 3
AVL Inserting 9997, traversed counter is 6
BST Inserting 9996, traversed counter is 4
AVL Inserting 9996, traversed counter is 6
BST Inserting 9995, traversed counter is 5
AVL Inserting 9995, traversed counter is 12
BST Inserting 9994, traversed counter is 6
AVL Inserting 9994, traversed counter is 6
BST Inserting 9993, traversed counter is 7
AVL Inserting 9993, traversed counter is 14
BST Inserting 9992, traversed counter is 8
AVL Inserting 9992, traversed counter is 7
BST Inserting 9991, traversed counter is 9
AVL Inserting 9991, traversed counter is 13
BST Inserting 9990, traversed counter is 10
AVL Inserting 9990, traversed counter is 7
BST Inserting 9989, traversed counter is 11
AVL Inserting 9989, traversed counter is 26
BST Inserting 9988, traversed counter is 12
AVL Inserting 9988, traversed counter is 7
BST Inserting 9987, traversed counter is 13
AVL Inserting 9987, traversed counter is 13
BST Inserting 9986, traversed counter is 14
AVL Inserting 9986, traversed counter is 7
BST Inserting 9985, traversed counter is 15
AVL Inserting 9985, traversed counter is 30
BST Inserting 9984, traversed counter is 16
AVL Inserting 9984, traversed counter is 8
BST Inserting 9983, traversed counter is 17
AVL Inserting 9983, traversed counter is 14
BST Inserting 9982, traversed counter is 18
AVL Inserting 9982, traversed counter is 8
BST Inserting 9981, traversed counter is 19
AVL Inserting 9981, traversed counter is 27
BST Inserting 9980, traversed counter is 20
AVL Inserting 9980, traversed counter is 8
BST Inserting 9979, traversed counter is 21
AVL Inserting 9979, traversed counter is 14
BST Inserting 9978, traversed counter is 22
AVL Inserting 9978, traversed counter is 8
BST Inserting 9977, traversed counter is 23
AVL Inserting 9977, traversed counter is 54
BST Inserting 9976, traversed counter is 24
AVL Inserting 9976, traversed counter is 8
BST Inserting 9975, traversed counter is 25
AVL Inserting 9975, traversed counter is 14
BST Inserting 9974, traversed counter is 26
AVL Inserting 9974, traversed counter is 8
BST Inserting 9973, traversed counter is 27
AVL Inserting 9973, traversed counter is 27
BST Inserting 9972, traversed counter is 28
AVL Inserting 9972, traversed counter is 8
BST Inserting 9971, traversed counter is 29
AVL Inserting 9971, traversed counter is 14
BST Inserting 9970, traversed counter is 30
AVL Inserting 9970, traversed counter is 8
BST Inserting 9969, traversed counter is 31
AVL Inserting 9969, traversed counter is 62
BST Inserting 9968, traversed counter is 32
AVL Inserting 9968, traversed counter is 9
BST Inserting 9967, traversed counter is 33
AVL Inserting 9967, traversed counter is 15
BST Inserting 9966, traversed counter is 34
AVL Inserting 9966, traversed counter is 9
BST Inserting 9965, traversed counter is 35
AVL Inserting 9965, traversed counter is 28
BST Inserting 9964, traversed counter is 36
AVL Inserting 9964, traversed counter is 9
BST Inserting 9963, traversed counter is 37
AVL Inserting 9963, traversed counter is 15
BST Inserting 9962, traversed counter is 38
AVL Inserting 9962, traversed counter is 9
BST Inserting 9961, traversed counter is 39
AVL Inserting 9961, traversed counter is 55
BST Inserting 9960, traversed counter is 40
AVL Inserting 9960, traversed counter is 9
BST Inserting 9959, traversed counter is 41
AVL Inserting 9959, traversed counter is 15
BST Inserting 9958, traversed counter is 42
AVL Inserting 9958, traversed counter is 9
BST Inserting 9957, traversed counter is 43
AVL Inserting 9957, traversed counter is 28
BST Inserting 9956, traversed counter is 44
AVL Inserting 9956, traversed counter is 9
BST Inserting 9955, traversed counter is 45
AVL Inserting 9955, traversed counter is 15
BST Inserting 9954, traversed counter is 46
AVL Inserting 9954, traversed counter is 9
BST Inserting 9953, traversed counter is 47
AVL Inserting 9953, traversed counter is 110
BST Inserting 9952, traversed counter is 48
AVL Inserting 9952, traversed counter is 9
BST Inserting 9951, traversed counter is 49
AVL Inserting 9951, traversed counter is 15
BST Inserting 9950, traversed counter is 50
AVL Inserting 9950, traversed counter is 9
BST Inserting 9949, traversed counter is 51
AVL Inserting 9949, traversed counter is 28
BST Inserting 9948, traversed counter is 52
AVL Inserting 9948, traversed counter is 9
BST Inserting 9947, traversed counter is 53
AVL Inserting 9947, traversed counter is 15
BST Inserting 9946, traversed counter is 54
AVL Inserting 9946, traversed counter is 9
BST Inserting 9945, traversed counter is 55
AVL Inserting 9945, traversed counter is 55
BST Inserting 9944, traversed counter is 56
AVL Inserting 9944, traversed counter is 9
BST Inserting 9943, traversed counter is 57
AVL Inserting 9943, traversed counter is 15
BST Inserting 9942, traversed counter is 58
AVL Inserting 9942, traversed counter is 9
BST Inserting 9941, traversed counter is 59
AVL Inserting 9941, traversed counter is 28
BST Inserting 9940, traversed counter is 60
AVL Inserting 9940, traversed counter is 9
BST Inserting 9939, traversed counter is 61
AVL Inserting 9939, traversed counter is 15
BST Inserting 9938, traversed counter is 62
AVL Inserting 9938, traversed counter is 9
BST Inserting 9937, traversed counter is 63
AVL Inserting 9937, traversed counter is 126
BST Inserting 9936, traversed counter is 64
AVL Inserting 9936, traversed counter is 10
BST Inserting 9935, traversed counter is 65
AVL Inserting 9935, traversed counter is 16
BST Inserting 9934, traversed counter is 66
AVL Inserting 9934, traversed counter is 10
BST Inserting 9933, traversed counter is 67
AVL Inserting 9933, traversed counter is 29
BST Inserting 9932, traversed counter is 68
AVL Inserting 9932, traversed counter is 10
BST Inserting 9931, traversed counter is 69
AVL Inserting 9931, traversed counter is 16
BST Inserting 9930, traversed counter is 70
AVL Inserting 9930, traversed counter is 10
BST Inserting 9929, traversed counter is 71
AVL Inserting 9929, traversed counter is 56
BST Inserting 9928, traversed counter is 72
AVL Inserting 9928, traversed counter is 10
BST Inserting 9927, traversed counter is 73
AVL Inserting 9927, traversed counter is 16
BST Inserting 9926, traversed counter is 74
AVL Inserting 9926, traversed counter is 10
BST Inserting 9925, traversed counter is 75
AVL Inserting 9925, traversed counter is 29
BST Inserting 9924, traversed counter is 76
AVL Inserting 9924, traversed counter is 10
BST Inserting 9923, traversed counter is 77
AVL Inserting 9923, traversed counter is 16
BST Inserting 9922, traversed counter is 78
AVL Inserting 9922, traversed counter is 10
BST Inserting 9921, traversed counter is 79
AVL Inserting 9921, traversed counter is 111
BST Inserting 9920, traversed counter is 80
AVL Inserting 9920, traversed counter is 10
BST Inserting 9919, traversed counter is 81
AVL Inserting 9919, traversed counter is 16
BST Inserting 9918, traversed counter is 82
AVL Inserting 9918, traversed counter is 10
BST Inserting 9917, traversed counter is 83
AVL Inserting 9917, traversed counter is 29
BST Inserting 9916, traversed counter is 84
AVL Inserting 9916, traversed counter is 10
BST Inserting 9915, traversed counter is 85
AVL Inserting 9915, traversed counter is 16
BST Inserting 9914, traversed counter is 86
AVL Inserting 9914, traversed counter is 10
BST Inserting 9913, traversed counter is 87
AVL Inserting 9913, traversed counter is 56
BST Inserting 9912, traversed counter is 88
AVL Inserting 9912, traversed counter is 10
BST Inserting 9911, traversed counter is 89
AVL Inserting 9911, traversed counter is 16
BST Inserting 9910, traversed counter is 90
AVL Inserting 9910, traversed counter is 10
BST Inserting 9909, traversed counter is 91
AVL Inserting 9909, traversed counter is 29
BST Inserting 9908, traversed counter is 92
AVL Inserting 9908, traversed counter is 10
BST Inserting 9907, traversed counter is 93
AVL Inserting 9907, traversed counter is 16
BST Inserting 9906, traversed counter is 94
AVL Inserting 9906, traversed counter is 10
BST Inserting 9905, traversed counter is 95
AVL Inserting 9905, traversed counter is 222
BST Inserting 9904, traversed counter is 96
AVL Inserting 9904, traversed counter is 10
BST Inserting 9903, traversed counter is 97
AVL Inserting 9903, traversed counter is 16
BST Inserting 9902, traversed counter is 98
AVL Inserting 9902, traversed counter is 10
BST Inserting 9901, traversed counter is 99
AVL Inserting 9901, traversed counter is 29
BST Inserting 9900, traversed counter is 100
AVL Inserting 9900, traversed counter is 10
BST Inserting 9899, traversed counter is 101
AVL Inserting 9899, traversed counter is 16
BST Inserting 9898, traversed counter is 102
AVL Inserting 9898, traversed counter is 10
BST Inserting 9897, traversed counter is 103
AVL Inserting 9897, traversed counter is 56
BST Inserting 9896, traversed counter is 104
AVL Inserting 9896, traversed counter is 10
BST Inserting 9895, traversed counter is 105
AVL Inserting 9895, traversed counter is 16
BST Inserting 9894, traversed counter is 106
AVL Inserting 9894, traversed counter is 10
BST Inserting 9893, traversed counter is 107
AVL Inserting 9893, traversed counter is 29
BST Inserting 9892, traversed counter is 108
AVL Inserting 9892, traversed counter is 10
BST Inserting 9891, traversed counter is 109
AVL Inserting 9891, traversed counter is 16
BST Inserting 9890, traversed counter is 110
AVL Inserting 9890, traversed counter is 10
BST Inserting 9889, traversed counter is 111
AVL Inserting 9889, traversed counter is 111
BST Inserting 9888, traversed counter is 112
AVL Inserting 9888, traversed counter is 10
BST Inserting 9887, traversed counter is 113
AVL Inserting 9887, traversed counter is 16
BST Inserting 9886, traversed counter is 114
AVL Inserting 9886, traversed counter is 10
BST Inserting 9885, traversed counter is 115
AVL Inserting 9885, traversed counter is 29
BST Inserting 9884, traversed counter is 116
AVL Inserting 9884, traversed counter is 10
BST Inserting 9883, traversed counter is 117
AVL Inserting 9883, traversed counter is 16
BST Inserting 9882, traversed counter is 118
AVL Inserting 9882, traversed counter is 10
BST Inserting 9881, traversed counter is 119
AVL Inserting 9881, traversed counter is 56
BST Inserting 9880, traversed counter is 120
AVL Inserting 9880, traversed counter is 10
BST Inserting 9879, traversed counter is 121
AVL Inserting 9879, traversed counter is 16
BST Inserting 9878, traversed counter is 122
AVL Inserting 9878, traversed counter is 10
BST Inserting 9877, traversed counter is 123
AVL Inserting 9877, traversed counter is 29
BST Inserting 9876, traversed counter is 124
AVL Inserting 9876, traversed counter is 10
BST Inserting 9875, traversed counter is 125
AVL Inserting 9875, traversed counter is 16
BST Inserting 9874, traversed counter is 126
AVL Inserting 9874, traversed counter is 10
BST Inserting 9873, traversed counter is 127
AVL Inserting 9873, traversed counter is 254
BST Inserting 9872, traversed counter is 128
AVL Inserting 9872, traversed counter is 11
BST Inserting 9871, traversed counter is 129
AVL Inserting 9871, traversed counter is 17
BST Inserting 9870, traversed counter is 130
AVL Inserting 9870, traversed counter is 11
BST Inserting 9869, traversed counter is 131
AVL Inserting 9869, traversed counter is 30
BST Inserting 9868, traversed counter is 132
AVL Inserting 9868, traversed counter is 11
BST Inserting 9867, traversed counter is 133
AVL Inserting 9867, traversed counter is 17
BST Inserting 9866, traversed counter is 134
AVL Inserting 9866, traversed counter is 11
BST Inserting 9865, traversed counter is 135
AVL Inserting 9865, traversed counter is 57
BST Inserting 9864, traversed counter is 136
AVL Inserting 9864, traversed counter is 11
BST Inserting 9863, traversed counter is 137
AVL Inserting 9863, traversed counter is 17
BST Inserting 9862, traversed counter is 138
AVL Inserting 9862, traversed counter is 11
BST Inserting 9861, traversed counter is 139
AVL Inserting 9861, traversed counter is 30
BST Inserting 9860, traversed counter is 140
AVL Inserting 9860, traversed counter is 11
BST Inserting 9859, traversed counter is 141
AVL Inserting 9859, traversed counter is 17
BST Inserting 9858, traversed counter is 142
AVL Inserting 9858, traversed counter is 11
BST Inserting 9857, traversed counter is 143
AVL Inserting 9857, traversed counter is 112
BST Inserting 9856, traversed counter is 144
AVL Inserting 9856, traversed counter is 11
BST Inserting 9855, traversed counter is 145
AVL Inserting 9855, traversed counter is 17
BST Inserting 9854, traversed counter is 146
AVL Inserting 9854, traversed counter is 11
BST Inserting 9853, traversed counter is 147
AVL Inserting 9853, traversed counter is 30
BST Inserting 9852, traversed counter is 148
AVL Inserting 9852, traversed counter is 11
BST Inserting 9851, traversed counter is 149
AVL Inserting 9851, traversed counter is 17
BST Inserting 9850, traversed counter is 150
AVL Inserting 9850, traversed counter is 11
BST Inserting 9849, traversed counter is 151
AVL Inserting 9849, traversed counter is 57
BST Inserting 9848, traversed counter is 152
AVL Inserting 9848, traversed counter is 11
BST Inserting 9847, traversed counter is 153
AVL Inserting 9847, traversed counter is 17
BST Inserting 9846, traversed counter is 154
AVL Inserting 9846, traversed counter is 11
BST Inserting 9845, traversed counter is 155
AVL Inserting 9845, traversed counter is 30
BST Inserting 9844, traversed counter is 156
AVL Inserting 9844, traversed counter is 11
BST Inserting 9843, traversed counter is 157
AVL Inserting 9843, traversed counter is 17
BST Inserting 9842, traversed counter is 158
AVL Inserting 9842, traversed counter is 11
BST Inserting 9841, traversed counter is 159
AVL Inserting 9841, traversed counter is 223
BST Inserting 9840, traversed counter is 160
AVL Inserting 9840, traversed counter is 11
BST Inserting 9839, traversed counter is 161
AVL Inserting 9839, traversed counter is 17
BST Inserting 9838, traversed counter is 162
AVL Inserting 9838, traversed counter is 11
BST Inserting 9837, traversed counter is 163
AVL Inserting 9837, traversed counter is 30
BST Inserting 9836, traversed counter is 164
AVL Inserting 9836, traversed counter is 11
BST Inserting 9835, traversed counter is 165
AVL Inserting 9835, traversed counter is 17
BST Inserting 9834, traversed counter is 166
AVL Inserting 9834, traversed counter is 11
BST Inserting 9833, traversed counter is 167
AVL Inserting 9833, traversed counter is 57
BST Inserting 9832, traversed counter is 168
AVL Inserting 9832, traversed counter is 11
BST Inserting 9831, traversed counter is 169
AVL Inserting 9831, traversed counter is 17
BST Inserting 9830, traversed counter is 170
AVL Inserting 9830, traversed counter is 11
BST Inserting 9829, traversed counter is 171
AVL Inserting 9829, traversed counter is 30
BST Inserting 9828, traversed counter is 172
AVL Inserting 9828, traversed counter is 11
BST Inserting 9827, traversed counter is 173
AVL Inserting 9827, traversed counter is 17
BST Inserting 9826, traversed counter is 174
AVL Inserting 9826, traversed counter is 11
BST Inserting 9825, traversed counter is 175
AVL Inserting 9825, traversed counter is 112
BST Inserting 9824, traversed counter is 176
AVL Inserting 9824, traversed counter is 11
BST Inserting 9823, traversed counter is 177
AVL Inserting 9823, traversed counter is 17
BST Inserting 9822, traversed counter is 178
AVL Inserting 9822, traversed counter is 11
BST Inserting 9821, traversed counter is 179
AVL Inserting 9821, traversed counter is 30
BST Inserting 9820, traversed counter is 180
AVL Inserting 9820, traversed counter is 11
BST Inserting 9819, traversed counter is 181
AVL Inserting 9819, traversed counter is 17
BST Inserting 9818, traversed counter is 182
AVL Inserting 9818, traversed counter is 11
BST Inserting 9817, traversed counter is 183
AVL Inserting 9817, traversed counter is 57
BST Inserting 9816, traversed counter is 184
AVL Inserting 9816, traversed counter is 11
BST Inserting 9815, traversed counter is 185
AVL Inserting 9815, traversed counter is 17
BST Inserting 9814, traversed counter is 186
AVL Inserting 9814, traversed counter is 11
BST Inserting 9813, traversed counter is 187
AVL Inserting 9813, traversed counter is 30
BST Inserting 9812, traversed counter is 188
AVL Inserting 9812, traversed counter is 11
BST Inserting 9811, traversed counter is 189
AVL Inserting 9811, traversed counter is 17
BST Inserting 9810, traversed counter is 190
AVL Inserting 9810, traversed counter is 11
BST Inserting 9809, traversed counter is 191
AVL Inserting 9809, traversed counter is 446
BST Inserting 9808, traversed counter is 192
AVL Inserting 9808, traversed counter is 11
BST Inserting 9807, traversed counter is 193
AVL Inserting 9807, traversed counter is 17
BST Inserting 9806, traversed counter is 194
AVL Inserting 9806, traversed counter is 11
BST Inserting 9805, traversed counter is 195
AVL Inserting 9805, traversed counter is 30
BST Inserting 9804, traversed counter is 196
AVL Inserting 9804, traversed counter is 11
BST Inserting 9803, traversed counter is 197
AVL Inserting 9803, traversed counter is 17
BST Inserting 9802, traversed counter is 198
AVL Inserting 9802, traversed counter is 11
BST Inserting 9801, traversed counter is 199
AVL Inserting 9801, traversed counter is 57
BST Inserting 9800, traversed counter is 200
AVL Inserting 9800, traversed counter is 11
BST Inserting 9799, traversed counter is 201
AVL Inserting 9799, traversed counter is 17
BST Inserting 9798, traversed counter is 202
AVL Inserting 9798, traversed counter is 11
BST Inserting 9797, traversed counter is 203
AVL Inserting 9797, traversed counter is 30
BST Inserting 9796, traversed counter is 204
AVL Inserting 9796, traversed counter is 11
BST Inserting 9795, traversed counter is 205
AVL Inserting 9795, traversed counter is 17
BST Inserting 9794, traversed counter is 206
AVL Inserting 9794, traversed counter is 11
BST Inserting 9793, traversed counter is 207
AVL Inserting 9793, traversed counter is 112
